orderId,symbol,strikePrice,side,investment,buy_price,qty,stoploss,target,exit_price,ltp,profit_loss,remark,unsubscribe,entry_time,exit_time,remaining_balance,kite_order
NFO:Profit,,,,,,,,,,,-3188.75,,False,23:59:59,,3371.25,False
NFO:NIFTY2311917900CE,NIFTY,17900.0,CE,6472.499999999999,129.45,0.0,97.0875,429.45,135.2,135.2,227.5,17967.0  > 17965.75,False,09:33:17,09:40:47,0.0,False
NFO:BANKNIFTY2311942200CE,BANKNIFTY,42200.0,CE,8370.0,334.8,0.0,251.1,634.8,308.75,308.75,-711.25,42269.0  > 42250.4,False,09:35:47,09:40:59,0.0,False
NFO:NIFTY2311917900CE,NIFTY,17900.0,CE,6930.0,138.6,0.0,103.95,438.6,138.25,138.25,-77.5,17967.0  > 17965.65,False,09:45:04,09:45:06,0.0,False
NFO:BANKNIFTY2311942100CE,BANKNIFTY,42100.0,CE,9587.5,383.5,0.0,416.25,713.5,415.0,415.0,727.5,Stop Loss Hit,False,09:49:27,09:50:48,0.0,False
NFO:NIFTY2311917900CE,NIFTY,17900.0,CE,7645.0,152.9,0.0,114.675,452.9,154.2,154.2,5.0,18000.0  > 17999.7,False,09:50:50,10:10:45,0.0,False
NFO:NIFTY2311917950CE,NIFTY,17950.0,CE,6350.0,127.0,0.0,95.25,427.0,120.1,120.1,-405.0,18000.0  > 17998.4,False,09:58:30,10:10:50,0.0,False
NFO:BANKNIFTY2311942200CE,BANKNIFTY,42200.0,CE,8968.75,358.75,0.0,269.0625,658.75,341.05,341.05,-502.5,42321.0  > 42319.2,False,10:14:03,10:22:34,0.0,False
NFO:NIFTY2311918100PE,NIFTY,18100.0,PE,6659.999999999999,133.2,0.0,99.9,433.2,123.6,123.6,-540.0,18011.0  < 18013,False,10:25:02,10:30:03,0.0,False
NFO:NIFTY2311918050PE,NIFTY,18050.0,PE,5207.5,104.15,0.0,78.11250000000001,404.15,94.0,94.0,-567.5,18011.0  < 18013.45,False,10:25:42,10:30:05,0.0,False
