orderId,symbol,strikePrice,side,investment,buy_price,qty,stoploss,target,exit_price,ltp,profit_loss,remark,unsubscribe,entry_time,exit_time,remaining_balance,kite_order
NFO:Profit,,,,,,,,,,,-347.5,,False,23:59:59,,3450.0,False
NFO:BANKNIFTY23JAN42800CE,BANKNIFTY,42800.0,CE,14700.0,294.0,0.0,249.0,382.2,248.65,248.65,-2327.5,Stop Loss Hit,False,09:30:03,09:58:14,0.0,False
NFO:BANKNIFTY23JAN43000PE,BANKNIFTY,43000.0,PE,10510.0,210.2,0.0,178.67,262.75,211.25,211.25,-7.5,due to is_long,False,10:30:05,10:30:09,0.0,False
NFO:BANKNIFTY23JAN43000PE,BANKNIFTY,43000.0,PE,10575.0,211.5,0.0,292.6,309.375,292.05,292.05,3967.5,Stop Loss Hit,False,10:35:00,11:21:51,0.0,False
NFO:BANKNIFTY23JAN42900PE,BANKNIFTY,42900.0,PE,10862.5,217.25,0.0,184.6625,271.5625,184.4,184.4,-1702.5,Stop Loss Hit,False,11:25:13,12:51:15,0.0,False
NFO:BANKNIFTY23JAN42700CE,BANKNIFTY,42700.0,CE,11722.5,234.45,0.0,199.2825,293.0625,233.5,233.5,-107.5,due to is_short,False,13:00:03,13:00:07,0.0,False
NFO:BANKNIFTY23JAN42700CE,BANKNIFTY,42700.0,CE,11667.5,233.35,0.0,198.3475,291.6875,210.5,210.5,-1202.5,due to is_short,False,13:05:01,13:12:02,0.0,False
NFO:BANKNIFTY23JAN42900PE,BANKNIFTY,42900.0,PE,10550.0,211.0,0.0,265.0,278.75,264.2,264.2,2600.0,Stop Loss Hit,False,13:30:05,13:44:46,0.0,False
NFO:BANKNIFTY23JAN42800PE,BANKNIFTY,42800.0,PE,10090.0,201.8,0.0,171.53,252.25,171.0,171.0,-1600.0,Stop Loss Hit,False,13:45:00,14:58:50,0.0,False
NFO:BANKNIFTY23JAN42600CE,BANKNIFTY,42600.0,CE,12000.0,240.0,0.0,204.0,300.0,244.65,244.65,172.5,due to is_short,False,15:00:03,15:00:08,0.0,False
NFO:BANKNIFTY23JAN42600CE,BANKNIFTY,42600.0,CE,12067.5,241.35,0.0,205.1475,301.6875,240.55,240.55,-100.0,due to is_short,False,15:00:10,15:00:33,0.0,False
NFO:BANKNIFTY23JAN42600CE,BANKNIFTY,42600.0,CE,11242.5,224.85,50.0,191.1225,281.0625,0.0,225.25,-40.0,,True,15:05:01,,0.0,False
