orderId,symbol,strikePrice,side,investment,buy_price,qty,stoploss,target,exit_price,ltp,profit_loss,remark,unsubscribe,entry_time,exit_time,remaining_balance,kite_order
NFO:Profit,,,,,,,,,,,658.7500000000009,,False,23:59:59,,5041.25,False
NFO:NIFTY2311918050PE,NIFTY,18050.0,PE,7500.0,150.0,0.0,112.5,450.0,143.7,143.7,-375.0,17962.0  < 17965.6,False,09:53:29,09:55:59,0.0,False
NFO:BANKNIFTY2311942400CE,BANKNIFTY,42400.0,CE,10071.25,402.85,0.0,302.13750000000005,702.85,395.05,395.05,-255.0,42564.0  > 42559.7,False,10:05:04,10:07:15,0.0,False
NFO:NIFTY2311918050PE,NIFTY,18050.0,PE,6962.5,139.25,0.0,104.4375,439.25,131.0,131.0,-472.5,due to is_long,False,10:07:15,10:10:03,0.0,False
NFO:BANKNIFTY2311942400CE,BANKNIFTY,42400.0,CE,10291.25,411.65,0.0,308.73749999999995,711.65,382.8,382.8,-781.25,42558.0  > 42555,False,10:10:03,10:15:44,0.0,False
NFO:NIFTY2311918050PE,NIFTY,18050.0,PE,7077.500000000001,141.55,0.0,106.1625,441.55,137.65,137.65,-255.0,17969.0  < 17971,False,10:16:01,10:26:09,0.0,False
NFO:BANKNIFTY2311942700PE,BANKNIFTY,42700.0,PE,8696.25,347.85,0.0,260.88750000000005,647.85,348.7,348.7,-38.75,42546.0  < 42546.25,False,10:28:37,10:42:16,0.0,False
NFO:NIFTY2311917900CE,NIFTY,17900.0,CE,7390.000000000001,147.8,0.0,110.85,447.8,148.8,148.8,-10.0,due to is_short,False,10:42:52,10:43:06,0.0,False
NFO:NIFTY2311917900CE,NIFTY,17900.0,CE,7502.500000000001,150.05,0.0,112.5375,450.05,143.35,143.35,-395.0,17973.0  > 17971.85,False,10:45:03,10:49:22,0.0,False
NFO:BANKNIFTY2311942700PE,BANKNIFTY,42700.0,PE,9331.25,373.25,0.0,279.9375,673.25,355.25,358.4,-431.25,42524.0  < 42525.7,False,10:49:24,10:59:50,0.0,False
NFO:BANKNIFTY2311942700PE,BANKNIFTY,42700.0,PE,9000.0,360.0,0.0,270.0,660.0,358.1,358.1,-107.5,42524.0  < 42524.65,False,11:00:09,11:00:46,0.0,False
NFO:NIFTY2311917900CE,NIFTY,17900.0,CE,7334.999999999999,146.7,0.0,110.025,446.7,146.7,146.7,-60.0,due to is_short,False,11:03:23,11:03:26,0.0,False
NFO:NIFTY2311918050PE,NIFTY,18050.0,PE,6582.5,131.65,0.0,98.7375,431.65,131.65,131.65,-60.0,due to is_long,False,11:03:46,11:03:47,0.0,False
NFO:NIFTY2311918050PE,NIFTY,18050.0,PE,6872.499999999999,137.45,0.0,103.0875,437.45,137.45,137.45,-60.0,due to is_long,False,11:05:04,11:05:08,0.0,False
NFO:BANKNIFTY2311942700PE,BANKNIFTY,42700.0,PE,9216.25,368.65,0.0,412.0,1043.65,411.4,411.4,1008.75,Stop Loss Hit,False,11:05:19,11:16:13,0.0,False
NFO:NIFTY2311918000PE,NIFTY,18000.0,PE,6227.5,124.55,0.0,93.4125,424.55,125.7,125.7,-2.5,17941.0  < 17944.35,False,11:16:16,11:26:43,0.0,False
NFO:BANKNIFTY2311942600PE,BANKNIFTY,42600.0,PE,9347.5,373.9,0.0,280.42499999999995,673.9,373.1,373.1,-80.0,42409.0  < 42413.7,False,11:30:43,11:43:26,0.0,False
NFO:BANKNIFTY2311942600PE,BANKNIFTY,42600.0,PE,9495.0,379.8,0.0,409.4,694.8,407.75,407.75,638.75,Stop Loss Hit,False,11:45:19,11:56:49,0.0,False
