orderId,symbol,strikePrice,side,investment,buy_price,qty,stoploss,target,exit_price,ltp,profit_loss,remark,unsubscribe,entry_time,exit_time,remaining_balance,kite_order
NFO:Profit,,,,,,,,,,,-10196.25,,False,23:59:59,,788.75,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,6172.5,246.9,0.0,185.175,546.9,185.15,185.15,-1603.75,Stop Loss Hit,False,09:30:05,09:37:23,0.0,False
NFO:BANKNIFTY2311942600PE,BANKNIFTY,42600.0,PE,6771.250000000001,270.85,0.0,203.1375,570.85,240.3,240.3,-823.75,42437.0  < 42438.9,False,09:40:05,09:45:37,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,5432.5,217.3,0.0,162.97500000000002,517.3,178.7,178.7,-1025.0,42418.0  < 42419.4,False,10:04:04,10:25:19,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,4540.0,181.6,0.0,215.25,526.6,215.05,215.05,776.25,Stop Loss Hit,False,10:47:05,10:52:09,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,5500.0,220.0,0.0,165.0,520.0,164.0,164.0,-1460.0,Stop Loss Hit,False,10:55:00,11:01:38,0.0,False
NFO:BANKNIFTY2311942400CE,BANKNIFTY,42400.0,CE,4371.25,174.85,0.0,131.1375,474.85,167.75,167.75,-237.5,due to is_short,False,11:03:04,11:03:12,0.0,False
NFO:BANKNIFTY2311942300CE,BANKNIFTY,42300.0,CE,5072.5,202.9,0.0,152.175,502.9,148.5,148.5,-1420.0,Stop Loss Hit,False,11:05:00,11:07:07,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,5146.25,205.85,0.0,245.0,550.85,240.8,240.8,813.75,Stop Loss Hit,False,11:15:10,11:22:19,0.0,False
NFO:BANKNIFTY2311942400PE,BANKNIFTY,42400.0,PE,4533.75,181.35,0.0,136.0125,481.35,134.15,134.15,-1240.0,Stop Loss Hit,False,11:25:01,11:42:43,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,5556.25,222.25,0.0,166.6875,522.25,187.05,190.45,-60.0,due to is_long,False,12:01:44,12:30:46,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,5556.25,222.25,0.0,166.6875,522.25,190.8,190.45,-60.0,due to is_long,False,12:01:45,12:30:47,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,5475.0,219.0,0.0,164.25,519.0,192.8,194.05,-60.0,due to is_long,False,12:01:46,12:31:00,0.0,False
NFO:BANKNIFTY2311942200CE,BANKNIFTY,42200.0,CE,5303.75,212.15,0.0,159.1125,512.15,181.75,181.75,-820.0,due to is_short,False,12:36:09,12:44:04,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,5002.5,200.1,0.0,243.5,635.1,241.5,241.5,975.0,Stop Loss Hit,False,12:45:07,12:48:18,0.0,False
NFO:BANKNIFTY2311942400PE,BANKNIFTY,42400.0,PE,3981.25,159.25,0.0,119.4375,459.25,119.35,119.35,-1057.5,Stop Loss Hit,False,12:50:02,13:08:49,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,4810.0,192.4,0.0,144.3,492.4,194.95,194.95,3.75,42339.0  < 42341.6,False,13:08:52,13:09:03,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,5266.25,210.65,0.0,252.1,615.65,245.75,245.75,817.5,Stop Loss Hit,False,13:10:16,13:15:41,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,5411.25,216.45,0.0,162.33749999999998,516.45,197.0,198.55,-507.5,42330.0  < 42332.3,False,13:20:05,13:33:01,0.0,False
NFO:BANKNIFTY2311942200CE,BANKNIFTY,42200.0,CE,4090.0,163.6,0.0,122.69999999999999,463.6,163.5,163.5,-62.5,due to is_short,False,13:45:21,13:45:27,0.0,False
NFO:BANKNIFTY2311942200CE,BANKNIFTY,42200.0,CE,4318.75,172.75,0.0,129.5625,472.75,129.1,129.1,-1151.25,Stop Loss Hit,False,14:07:22,14:20:05,0.0,False
NFO:BANKNIFTY2311942100CE,BANKNIFTY,42100.0,CE,4273.75,170.95,0.0,128.21249999999998,470.95,170.95,168.85,-112.5,42302.0  > 42243.5,False,14:25:18,14:25:31,0.0,False
NFO:BANKNIFTY2311942400PE,BANKNIFTY,42400.0,PE,3927.5,157.1,0.0,117.82499999999999,457.1,157.1,158.55,-23.75,due to is_long,False,14:33:58,14:34:07,0.0,False
NFO:BANKNIFTY2311942400PE,BANKNIFTY,42400.0,PE,4396.25,175.85,0.0,131.8875,475.85,175.85,167.4,-60.0,due to is_long,False,14:35:14,14:35:31,0.0,False
NFO:BANKNIFTY2311942400PE,BANKNIFTY,42400.0,PE,3350.0,134.0,0.0,100.5,434.0,136.85,136.85,11.25,due to is_long,False,14:40:06,14:40:17,0.0,False
NFO:BANKNIFTY2311942400PE,BANKNIFTY,42400.0,PE,3408.75,136.35,0.0,102.26249999999999,436.35,132.5,129.55,-230.0,due to is_long,False,14:40:23,14:40:47,0.0,False
NFO:BANKNIFTY2311942400PE,BANKNIFTY,42400.0,PE,2993.75,119.75,0.0,89.8125,419.75,108.4,108.4,-343.75,42296.0  < 42300.9,False,14:45:02,14:53:27,0.0,False
NFO:BANKNIFTY2311942400PE,BANKNIFTY,42400.0,PE,2923.75,116.95,0.0,87.7125,416.95,103.95,103.95,-385.0,42296.0  < 42303.75,False,14:45:10,14:53:38,0.0,False
NFO:BANKNIFTY2311942400PE,BANKNIFTY,42400.0,PE,2946.25,117.85,0.0,88.38749999999999,417.85,106.65,106.65,-340.0,42296.0  < 42297.65,False,14:55:07,14:55:29,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,4962.5,198.5,0.0,148.875,498.5,200.75,198.5,-60.0,42296.0  < 42302.7,False,14:55:33,14:55:36,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,4773.75,190.95,0.0,143.21249999999998,490.95,191.8,191.8,-38.75,42296.0  < 42302.55,False,14:55:40,14:55:51,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,4647.5,185.9,0.0,139.425,485.9,192.95,192.95,-60.0,42296.0  < 42305.55,False,14:55:58,14:56:12,0.0,False
NFO:BANKNIFTY2311942400PE,BANKNIFTY,42400.0,PE,2351.25,94.05,0.0,70.5375,394.05,94.05,74.0,-60.0,42296.0  < 42303.75,False,15:00:11,15:00:47,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,4693.75,187.75,0.0,140.8125,487.75,187.75,187.75,-60.0,42296.0  < 42305.7,False,15:00:19,15:00:50,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,3853.75,154.15,0.0,115.61250000000001,454.15,162.45,162.45,147.5,42296.0  < 42346.85,False,15:05:06,15:05:11,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,4077.5,163.1,0.0,122.32499999999999,463.1,163.1,156.85,-216.25,42296.0  < 42346.1,False,15:05:21,15:05:29,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,4027.5,161.1,0.0,120.82499999999999,461.1,161.1,159.0,-60.0,42296.0  < 42344.6,False,15:05:31,15:05:34,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,4047.5,161.9,0.0,121.42500000000001,461.9,164.75,161.35,-57.5,42296.0  < 42346.2,False,15:05:36,15:06:09,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,3946.25,157.85,0.0,118.38749999999999,457.85,160.9,160.9,31.25,42296.0  < 42349.55,False,15:10:16,15:10:36,0.0,False
NFO:BANKNIFTY2311942500PE,BANKNIFTY,42500.0,PE,4031.25,161.25,25.0,120.9375,461.25,0.0,160.6,-76.25,,True,15:10:21,,0.0,False
