orderId,symbol,strikePrice,side,investment,buy_price,qty,stoploss,target,exit_price,ltp,profit_loss,remark,unsubscribe,entry_time,exit_time,remaining_balance,kite_order
NFO:Profit,,,,,,,,,,,-4835.0,,False,23:59:59,,2884.999999999999,False
NFO:BANKNIFTY2311942000CE,BANKNIFTY,42000.0,CE,11066.25,442.65,0.0,473.55,772.65,471.05,471.05,650.0,Stop Loss Hit,False,09:30:49,09:35:38,0.0,False
NFO:NIFTY2311917750CE,NIFTY,17750.0,CE,8740.0,174.8,0.0,131.10000000000002,474.8,164.1,164.1,-595.0,due to is_short,False,09:41:03,09:43:01,0.0,False
NFO:BANKNIFTY2311942100PE,BANKNIFTY,42100.0,PE,10977.5,439.1,0.0,329.32500000000005,739.1,383.3,383.3,-1455.0,41993.0  < 42000.65,False,10:05:35,10:18:09,0.0,False
NFO:NIFTY2311917900PE,NIFTY,17900.0,PE,8330.0,166.6,0.0,124.95,466.6,155.3,155.3,-625.0,17817.0  < 17817.55,False,10:30:02,10:39:00,0.0,False
NFO:BANKNIFTY2311942100PE,BANKNIFTY,42100.0,PE,9902.5,396.1,0.0,297.07500000000005,696.1,388.75,388.75,-243.75,41981.0  < 41984.95,False,10:39:02,11:03:57,0.0,False
NFO:NIFTY2311917750CE,NIFTY,17750.0,CE,9092.5,181.85,0.0,136.3875,481.85,171.45,171.45,-580.0,17819.0  > 17818.4,False,11:06:02,11:32:11,0.0,False
NFO:BANKNIFTY2311942100PE,BANKNIFTY,42100.0,PE,10013.75,400.55,0.0,300.4125,700.55,364.7,364.7,-956.25,42013.0  < 42022.25,False,11:32:14,11:38:36,0.0,False
NFO:NIFTY2311917750CE,NIFTY,17750.0,CE,9295.0,185.9,0.0,139.425,485.9,173.7,173.7,-670.0,17819.0  > 17818.35,False,11:38:37,11:42:19,0.0,False
NFO:NIFTY2311917900PE,NIFTY,17900.0,PE,7640.000000000001,152.8,50.0,114.60000000000001,452.8,0.0,146.8,-360.0,,True,11:46:38,,0.0,False
