orderId,symbol,strikePrice,side,investment,buy_price,qty,stoploss,target,exit_price,ltp,profit_loss,remark,unsubscribe,entry_time,exit_time,remaining_balance,kite_order
NFO:Profit,,,,,,,,,,,-1461.25,,False,23:59:59,,5042.5,False
NFO:BANKNIFTY23JAN42400CE,BANKNIFTY,42400.0,CE,9732.5,389.3,0.0,444.8,779.3,443.9,443.9,1305.0,Stop Loss Hit,False,09:42:18,10:10:02,0.0,False
NFO:BANKNIFTY23JAN42700PE,BANKNIFTY,42700.0,PE,8556.25,342.25,0.0,256.6875,642.25,321.2,321.2,-586.25,42595.0  < 42626.45,False,11:53:02,12:20:37,0.0,False
NFO:BANKNIFTY23JAN42500CE,BANKNIFTY,42500.0,CE,9187.5,367.5,0.0,275.625,667.5,365.65,365.65,-106.25,due to is_short,False,12:30:13,12:30:17,0.0,False
NFO:BANKNIFTY23JAN42500CE,BANKNIFTY,42500.0,CE,9362.5,374.5,0.0,280.875,674.5,335.75,335.75,-1028.75,42594.0  > 42593.2,False,12:35:02,12:45:27,0.0,False
NFO:BANKNIFTY23JAN42500CE,BANKNIFTY,42500.0,CE,8806.25,352.25,0.0,264.1875,652.25,345.0,345.0,-241.25,due to is_short,False,13:04:02,13:30:15,0.0,False
NFO:BANKNIFTY23JAN42700PE,BANKNIFTY,42700.0,PE,8146.250000000001,325.85,0.0,244.3875,625.85,327.6,327.6,-16.25,42586.0  < 42588.15,False,13:37:03,14:15:14,0.0,False
NFO:BANKNIFTY23JAN42700PE,BANKNIFTY,42700.0,PE,8706.25,348.25,0.0,261.1875,648.25,326.0,326.0,-616.25,42586.0  < 42589.25,False,14:33:08,14:52:46,0.0,False
NFO:BANKNIFTY23JAN42700PE,BANKNIFTY,42700.0,PE,8667.5,346.7,25.0,260.025,646.7,0.0,342.25,-171.25,,True,15:01:01,,0.0,False
